cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f170,f1607213,50,f7898017760856,13.5,8.99,20052000,BATATA PALHA EXTRA FINA 15 X 250G,7/7/2023,
f31,f3502,50,f7898017760382,14.2,9.4,20052000,BATATA PALHA 250G,7/7/2023,
f30,f3756,50,f7898017760368,4.2,2.8,20052000,BATATA PALHA 80G,7/7/2023,
f24,f3501,50,f7898017760269,13.99,9.1,19059090,CANUDOS PARA RECHEAR,7/16/2023,
f16,f72225,50,f7898017760061,9.5,6.19,19021900,MASSA LASANHA 500G,7/16/2023,
f12,f7073,50,f7898017760252,4.5,2.88,19021900,MASSA PASTEL DISCO 200G,7/16/2023,
f11,f72226,50,f7898017760085,7.5,4.94,19021900,MASSA PASTEL DISCO 400G,7/16/2023,
f8,f3755,50,f7898017760436,14.5,9.53,19021900,MASSA PASTEL ROLO 1KG,7/16/2023,
f17,f4554,50,f7898017760245,6.99,4.6,19021900,MASSA PIZZA 160G,7/16/2023,
f154,f0511211,50,f7898017760641,5.2,3.43,19059090,ROSCA DE POLVILHO 20X80G,7/16/2023,
f10,f3493,50,f7898017760078,9.5,6.13,19021900,MASSA PASTEL DISCO 500G,7/21/2023,
f23,f10142,50,f7898017760443,10.2,6.75,19023000,NHOQUE DE BATATA 500G,8/11/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,10/20/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,10/20/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,10/20/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,10/27/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,10/27/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,11/1/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,11/1/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,11/1/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,11/10/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,11/10/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,11/10/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,11/16/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,11/24/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,11/24/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,11/24/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,12/1/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,12/1/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,12/1/2023,
f154,f0511211,50,f7898017760641,5.99,3.8,19059090,ROSCA DE POLVILHO 20X80G,12/1/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,12/20/2023,
f160,f20122365,50,f7898017760887,6.99,4.65,19059090,SUSPIRO TRADICIONAL 100G,12/20/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,12/28/2023,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,12/28/2023,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,12/28/2023,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,1/4/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,1/4/2024,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,1/19/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,1/19/2024,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,1/26/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,1/26/2024,
f154,f0511211,50,f7898017760641,5.99,3.8,19059090,ROSCA DE POLVILHO 20X80G,1/26/2024,
f31,f3502,50,f7898017760382,14.5,9.65,20052000,BATATA PALHA 250G,2/2/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,2/2/2024,
f170,f1607213,50,f7898017760856,14.5,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,2/10/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,2/10/2024,
f154,f0511211,50,f7898017760641,5.99,3.8,19059090,ROSCA DE POLVILHO 20X80G,2/10/2024,
f30,f3756,50,f7898017760368,4.99,3.25,20052000,BATATA PALHA 80G,2/16/2024,
f170,f1607213,50,f7898017760856,15.23,9.65,20052000,BATATA PALHA EXTRA FINA 15 X 250G,3/15/2024,
f30,f3756,50,f7898017760368,5.2,3.45,20052000,BATATA PALHA 80G,3/15/2024,
f154,f0511211,50,f7898017760641,5.99,3.8,19059090,ROSCA DE POLVILHO 20X80G,3/15/2024,
f170,f1607213,50,f7898017760856,15.5,10.15,20052000,BATATA PALHA EXTRA FINA 15 X 250G,4/5/2024,
f31,f3502,50,f7898017760382,15.5,10.15,20052000,BATATA PALHA 250G,4/5/2024,
f30,f3756,50,f7898017760368,5.2,3.45,20052000,BATATA PALHA 80G,4/5/2024,
