cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f514675,f1003,60.0,f7893000018778,18.2,10.5,2032900,CARRE SUI CONG SADIA IWP CX 20KG,7/25/2023,
f514675 - FD,f25720230,60.0,f17893000018775,336.2,210.0,2032900,CARRE SUI CONG SADIA IWP CX 20KG,7/25/2023,
f500743,f1043,50.0,f7893000516915,28.5,16.0,2032900,COSTELINHA SUINA CO SADIA 10KG,7/25/2023,
f500743 - FD,f25720231,50.0,f17893000516912,240.2,160.0,2032900,COSTELINHA SUINA CO SADIA 10KG,7/25/2023,
f220981,f1028,50.0,f7891515220983,17.5,10.14,16010000,SHG420 SALSICHA HOT DOG PT 5KG PERDIGAO,06/20/2025,
f220981 - FD,f112406,50.0,f17891515220980,304.2,202.8,16010000,SHG420 SALSICHA HOT DOG PT 5KG PERDIGAO,06/20/2025,
f500732,f2059,50.0,f7893000394209,13.2,8.705,15171000,MARGARINA VEG.CREM.CSAL QUALY 500G,8/10/2023,2.0
f500732 - FD,f108202310,50.0,f27893000394203,156.99,104.46,15171000,MARGARINA VEG.CREM.CSAL QUALY 500G,8/10/2023,
f514675,f1003,60.0,f7893000018778,18.5,11.529625,2032900,CARRE SUI CONG SADIA IWP CX 20KG,8/10/2023,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,461.185,2032900,CARRE SUI CONG SADIA IWP CX 20KG,8/10/2023,
f326118,f2360,50.0,f7891515474126,2.99,0.9579999999988889,16023230,STEAK FGO EMP CONG IWP 100G PD,8/10/2023,10.0
f326118 - FD,f108202311,50.0,f17891515472433,64.99,43.10999999995,16023230,STEAK FGO EMP CONG IWP 100G PD,8/10/2023,
f514675,f1003,60.0,f7893000018778,18.5,11.425,2032900,CARRE SUI CONG SADIA IWP CX 20KG,9/28/2023,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,457.0,2032900,CARRE SUI CONG SADIA IWP CX 20KG,9/28/2023,
f500743 - FD,f25720231,50.0,f17893000516912,242.99,161.8,2032900,COSTELINHA SUINA CO SADIA 10KG,9/28/2023,
f239706,f0009,70.0,f7891515356736,37.99,21.01,16010000,MORTADELA DEFUMADA OURO PERDIGAO,03/27/2025,
f239706 - FD,f1910202373,50.0,f27891515356730,504.5,336.16,16010000,MORTADELA DEFUMADA OURO PERDIGAO,03/27/2025,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,216.0,2032900,CARRE SUI CONG SADIA IWP CX 20KG,10/19/2023,
f239706 - FD,f1910202373,50.0,f27891515356730,504.5,336.16,16010000,MORTADELA DEFUMADA OURO PERDIGAO,03/27/2025,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,444.5999999999999,2032900,CARRE SUI CONG SADIA IWP CX 20KG,12/7/2023,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,220.0,2032900,CARRE SUI CONG SADIA IWP CX 20KG,12/22/2023,
f514675 - FD,f25720230,60.0,f17893000018775,737.99,224.1,2032900,CARRE SUI CONG SADIA IWP CX 20KG,2/15/2024,
