cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f1000043,f10111,50,f7896256601237,8.99,5.79,22029900,BEBIDA FERM. MORANGO 900GR - 1237,7/26/2023,
f1000148,f6533,50,f7896256603170,13.99,9.28,22029900,BEBIDA LACT. GAR. MORANGO 830GR -3170,7/26/2023,
f1000149,f6974,50,f7896256603408,13.99,9.28,22029900,BEBIDA LACT. GAR. FRUTAS E CEREAIS 830GR -3408,7/26/2023,
f1000052,f38265,50,f7896256601275,15.99,10.14,4051000,MANTEIGA EXTRA C/SAL TIROL 200G - 1275,7/26/2023,
f1000053,f392829,50,f7896256601282,15.99,10.35,4051000,MANTEIGA EXTRA S/SAL TIROL 200G - 1282,7/26/2023,
f1000054,f10112,50,f7896256600094,16.5,10.44,4015029,NATA TIROL PT 300G - 0094,7/26/2023,
f1000075,f6967,50,f7896256601824,8.5,5.49,4012010,LEITE UHT PREM.SEMI DES. 0% LACTOSE 1 LT-1824,7/26/2023,
f1000099,f9030,50,f7896294900712,11.5,7.49,4061090,REQUEIJAO CREMOSO COPO PLAST. 180GR -0712,7/26/2023,
f1000125,f020301,50,f7896256604047,7.5,4.97,22029900,BEBIDA FERM. FRUTAS/CEREAIS 900GR -4047,7/26/2023,
f1000131,f1523,50,f7896256600544,13.99,9.29,4061010,QUEIJO MUSSARELA FATIADO 150GR -0544,7/26/2023,
f1000132,f392652,50,f7896256600551,13.99,9.29,4069020,QUEIJO PRATO FATIADO 150GR - 0551,7/26/2023,
f1000133,f659832,50,f7896256600278,8.99,5.8,19019020,DOCE DE LEITE 350 GR -0278,7/26/2023,
f1000304,f7050,50,f7896256604924,7.5,4.96,22029900,BEBIDA LACTEA MORANGO BANDEJA 540 GR 30,7/26/2023,
f1000400,f7049,50,f7896256604962,8.5,5.5,4029900,LEITE CONDENSADO 395 GR -4962,7/26/2023,
f1000068,f7286,50,f7896256601626,3.5,2.33,4032000,IOG. BI CAMADA C/GELEIA DE MORANGO 130GR - 1626,8/29/2023,
f1000072,f7288,50,f7896256602012,3.5,2.33,4032000,IOG. BI CAMADA C/GELEIA DE MARACUJA 130GR - 2012,8/29/2023,
f1000089,f6568,50,f7896256600513,3.95,2.33,4032000,IOG. DESNATADO NATURAL LIGHT 160GR - 0513,8/29/2023,
f1000091,f7222,50,f7896256600520,3.95,2.33,4032000,IOG. DESNATADO C/MEL 160GR - 0520,8/29/2023,
f1000092,f6968,50,f7896256601909,5.2,2.33,4032000,IOG. DESNAT. C/LARANJA/CENOURA/MEL 160GR - 1909,8/29/2023,
f1000095,f6972,50,f7896256603163,4.1,1.76,22029900,BEBIDA GAR. MORANGO 170GR - 3163,8/29/2023,
f1000111,f7287,50,f7896256603477,3.5,2.33,4032000,IOG. BI CAMADA C/GELEIA FRUTAS ROXAS 130GR -3477,8/29/2023,
f1000133,f659832,50,f7896256600278,9.5,6.3,19019020,DOCE DE LEITE 350 GR -0278,8/29/2023,
f1000142,f1003231,50,f7896256603484,16.5,9.34,4032000,IOG. GAR. 0%LACTOSE MORANGO 830GR -3484,8/29/2023,
f1000181,f392817,50,f7896256603422,7.5,4.35,4011010,LEITE UHT DESNATADO TIROL T/R 1 LT -3422,8/29/2023,
f1000870,f1207213,50,f7896256605419,5.2,2.33,04032000,IOG. INTEGRAL NATURAL 160GR - 5419,8/29/2023,
