cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f510047,f87,50,f78929340,1.5,0.9325,18063110,"STIKADINHO MORANGO 12,3G 32X12,3G",05/21/2026,32.0
f510047 - FD,f3012254,50,f17891330016713,179.2,119.36,18063110,"STIKADINHO MORANGO 12,3G 32X12,3G",05/21/2026,
f510086,f9876,50,f7891110071942,13.5,9.1,19019020,DOCE DE LEITE MU-UM 350G 01X350G,04/10/2026,
f510086 - FD,f1422617,50,f37891110071943,79.99,54.6,19019020,DOCE DE LEITE MU-UM 350G 01X350G,04/10/2026,
f520013,f98764,50,f7896412851452,3.5,1.94,19053100,BISC CHOCO SUICO TORTISSIMAS 130G 01X130G,02/14/2026,
f520013 - FD,f1422630,50,f17896412851459,29.2,19.4,19053100,BISC CHOCO SUICO TORTISSIMAS 130G 01X130G,02/14/2026,
f520014,f2101222,50,f7896412802454,3.5,2.09,19053100,BISC CHOCOLATE TORTISSIMAS 130G 01X130G,03/26/2026,
f520014 - FD,f142266,50,f17896412802451,62.99,41.8,19053100,BISC CHOCOLATE TORTISSIMAS 130G 01X130G,03/26/2026,
f520015,f210120221,50,f7896412802478,3.5,2.09,19053100,BISCOITO LIMAO TORTISSIMAS 130G 01X130G,03/26/2026,
f520015 - FD,f1422646,50,f17896412802475,62.99,41.8,19053100,BISCOITO LIMAO TORTISSIMAS 130G 01X130G,03/26/2026,
f520016,f2601223,50,f7896412802485,3.5,1.99,19053100,BISCOITO MORANGO TORTISSIMAS 130G 01X130G,04/10/2026,
f520016 - FD,f1422668,50,f17896412802482,29.2,19.9,19053100,BISCOITO MORANGO TORTISSIMAS 130G 01X130G,04/10/2026,
f620042,f**4,50,f7896040709859,4.5,2.99,34025000,MULTIUSO PERF MIST INTEN 500ML 01X500ML,05/21/2026,
f620042 - FD,f1422676,50,f17896040709856,17.99,11.96,34025000,MULTIUSO PERF MIST INTEN 500ML 01X500ML,05/21/2026,
f620043,f4*,50,f7896040709828,4.5,2.99,34025000,MULTIUSO PERF MIST JARDIM 500ML 01X500ML,05/21/2026,
f620043 - FD,f1422620,50,f17896040709825,17.99,11.96,34025000,MULTIUSO PERF MIST JARDIM 500ML 01X500ML,05/21/2026,
f520019,f15820230,50,f7896412851766,3.2,1.9,19053200,BISCOITO WAFER CHOCOLATE 100G 01X100G,04/10/2026,
f520019 - FD,f1042646,50,f17896412851763,28.5,19.0,19053200,BISCOITO WAFER CHOCOLATE 100G 01X100G,04/10/2026,
f520020,f199202385,50,f7896412851797,2.99,1.9,19053200,BISCOITO WAFER LIMAO ORQUIDEA 100G 01X100G,04/10/2026,
f520020 - FD,f1042673,50,f17896412851794,28.5,19.0,19053200,BISCOITO WAFER LIMAO ORQUIDEA 100G 01X100G,04/10/2026,
f520021,f1110202377,50,f7896412851780,3.2,1.9,19053200,BISCOITO WAFER MORANGO ORQ 100G 01X100G,04/10/2026,
f520021 - FD,f1042617,50,f17896412851787,28.5,19.0,19053200,BISCOITO WAFER MORANGO ORQ 100G 01X100G,04/10/2026,
f520043,f1711202396,50,f7896412803031,11.99,8.0,19019090,FARINHA PANKO ORQUIDEA 250G 01X250G,04/10/2026,
f520043 - FD,f1042615,50,f17896412803038,60.2,40.0,19019090,FARINHA PANKO ORQUIDEA 250G 01X250G,04/10/2026,
f530061,f72900,50,f7896356600161,40.5,21.81,22042100,JURUPINGA 975ML 12X975ML,04/10/2026,
f530061 - FD,f1042651,50,f17896356600168,196.5,130.86,22042100,JURUPINGA 975ML 12X975ML,04/10/2026,
f520102,f*30,50,f7896412853500,2.5,1.49,19053100,BISC TORTISSIMA CH+MOR XTR 75G 01X75G,05/21/2026,
f520102 - FD,f2152639,50,f17896412853507,13.5,8.94,19053100,BISC TORTISSIMA CH+MOR XTR 75G 01X75G,05/21/2026,
f520103,f*29,50,f7896412853517,2.4,1.49,19053100,BISC TORTISSIMA CHOC XTRA 75G 01X75G,05/21/2026,
f520103 - FD,f2152690,50,f17896412853514,26.99,17.88,19053100,BISC TORTISSIMA CHOC XTRA 75G 01X75G,05/21/2026,
f530035,f72369,50,f7896931614149,18.5,12.13,20096100,"SUCO UVA CAMPO LARGO PET1,35L 06X1,35L",05/21/2026,
f530035 - FD,f215263,50,f17896931614146,109.2,72.78,20096100,"SUCO UVA CAMPO LARGO PET1,35L 06X1,35L",05/21/2026,
f620104,f8022,50,f7896040704625,6.5,4.0,34025000,LIMP. PERF. AGRADABLE 500ML 01X500ML,05/21/2026,
f620104 - FD,f2152614,50,f17896040705575,48.2,32.0,34025000,LIMP. PERF. AGRADABLE 500ML 01X500ML,05/21/2026,
f620106,f8024,50,f7896040704632,6.5,4.0,34025000,LIMP. PERF. BELA FLORE 500ML 01X500ML,05/21/2026,
f620106 - FD,f2152642,50,f17896040705582,48.2,32.0,34025000,LIMP. PERF. BELA FLORE 500ML 01X500ML,05/21/2026,
f620109,f8030,50,f7896040704618,6.2,4.0,34025000,LIMP. PERF. SENSUALIDAD 500ML 01X500ML,05/21/2026,
f620109 - FD,f2152632,50,f17896040705568,48.2,32.0,34025000,LIMP. PERF. SENSUALIDAD 500ML 01X500ML,05/21/2026,
f620126,f2152664,50,f7896040710145,6.2,4.0,34025000,LIMP PERF CHA BRANCO 500ML 1X500ML,05/21/2026,
f620126 - FD,f2152669,50,f17896040710142,48.2,32.0,34025000,LIMP PERF CHA BRANCO 500ML 1X500ML,05/21/2026,
