cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f3565,f72104,50,f7898298160291,8.2,5.39,19053100,Bolachao de Mel 400g,10/19/2023,
f3566,f72105,50,f7898298160307,8.2,5.39,19053100,Bolachao de Mel com Glace 400g,10/19/2023,
f3570,f7026,50,f7898298160635,5.99,3.98,19053100,Biscoito Rosca de Calda 300g,10/19/2023,
f3573,f3632,50,f7898934595487,2.99,1.98,17049020,Dip Loko Booom Melancia Like (CAIXA COM 15),10/19/2023,15.0
f3579,f72536,50,f7898963171928,2.99,1.98,17049020,Dip Loko Neon Monsters Olhos (CX COM 30),10/19/2023,30.0
f3581,f1412223,50,f7898964630004,2.99,1.98,17049020,Dip Loko Neon Unicornio (CAIXA COM 30),10/19/2023,30.0
f3584,f7066,50,f7898298160529,9.5,6.28,19054000,Biscoitos Joelinho 180g,10/19/2023,
f3585,f2609224,50,f7898298160222,5.99,3.98,19059090,Suspiro Anarella 90g,10/19/2023,
f3587,f72149,50,f7898298160802,9.99,6.49,19053100,Dolce Amore 250g,10/19/2023,
f3593,f72852,50,f7898298161373,7.5,4.98,19053100,Biscoito Romeu e Julieta,10/19/2023,
f3595,f72778,50,f7898298161311,8.99,5.98,19059020,Broa de Amendoim 230g,10/19/2023,
f3572,f7169,50,f7898934595463,3.2,2.0900000000000003,17049020,Dip Loko Booom Morango Like (CAIXA COM 15),11/6/2023,15.0
f3573,f3632,50,f7898934595487,3.2,2.0900000000000003,17049020,Dip Loko Booom Melancia Like (CAIXA COM 15),11/6/2023,15.0
f3574,f9035,50,f7898934595500,3.2,2.0900000000000003,17049020,Dip Loko Booom Uva Like (CAIXA COM 15),11/6/2023,15.0
f3618,f897112,50,f7898298160925,3.99,2.35,17041000,CHICLES ANARELLA POTE COM 20 TIRAS,11/6/2023,20.0
f3620,f72262,50,f7898298160734,6.5,4.183333333333334,17049020,Bala Pote 140g Anarella - Canela,11/6/2023,6.0
f3626,f72260,50,f7898298160697,6.5,4.183333333333334,17049020,Bala Pote 140g Anarella - Mel e Gengibre,11/6/2023,6.0
