cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000205,f594,50,f7891999970053,6.99,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,7/6/2023,5.0
f008291,f2112227,50,f7896625210862,7.2,4.69,4032000,VIGOR MIX COLORBALL MRGO 140G,7/6/2023,
f080010,f2905221,50,f7896625211081,4.2,2.59,4032000,VIGOR GREGO FLOCOS 90G,7/6/2023,
f080013,f0307221,50,f7896625211111,4.2,2.59,4032000,VIGOR GREGO FR VERMELHAS 90G,7/6/2023,
f080016,f0307222,50,f7896625211142,4.2,2.59,4032000,VIGOR GREGO TRADICIONAL 90G,7/6/2023,
f330688,f838,50,f7891999100047,2.99,1.96,22021000,VIG BEBIDA DE UVA 200ML,7/6/2023,
f330693,f1831,50,f7891999941879,2.99,1.96,22021000,VIG BEBIDA DE LARANJA 200ML,7/6/2023,
f000559,f121930,50,f7891999011008,4.99,3.19,15171000,VIGOR 80% 250G COM SAL,7/19/2023,
f008270,f0701211,50,f7896625210725,3.99,2.59,4032000,VIGOR NATURAL LAR CEN MEL 150G,7/19/2023,
f008274,f1808222,50,f7896625210756,4.15,2.59,4032000,VIGOR NATURAL AMEIXA 150G,7/19/2023,
f008275,f0701222,50,f7896625210763,4.5,2.59,4032000,VIGOR NATURAL TRADICIONAL 150G,7/19/2023,
f031112,f07,50,f7898240320926,2.99,1.99,4039000,REAL FERMENTADO 150G,7/19/2023,
f101900,f1328,50,f7896331100136,17.99,11.8,4051000,AVIACAO MANTEIGA TB S/SAL 200G,7/19/2023,
f330687,f2141,50,f7891999100016,2.99,1.96,22021000,VIG BEBIDA DE MACA 200ML,7/19/2023,
f000205,f594,50,f7891999970053,7.2,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,7/26/2023,5.0
f006674,f72785,50,f7896625210305,15.99,8.69,4032000,VIGOR 800G LIQ MORANGO,7/26/2023,
f000205,f594,50,f7891999970053,7.2,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,7/26/2023,5.0
f006674,f72785,50,f7896625210305,15.99,8.69,4032000,VIGOR 800G LIQ MORANGO,7/26/2023,
f000331,f6814,50,f7891999904805,8.99,5.99,4039000,VIGOR LEITE FERMENTADO 450G,8/9/2023,
f000447,f3394,50,f7891999014153,6.99,4.49,4049000,VIGOR SOBREMESA CHOCOLATE 180G,8/9/2023,
f008273,f0049,50,f7896625210749,4.49,2.59,4032000,VIGOR NATURAL DESNATADO 150G,8/9/2023,
f008290,f2212221,50,f7896625210855,7.2,4.69,4032000,VIGOR MIX BLACK WHITE MRG 140G,8/9/2023,
f080012,f07122220,50,f7896625211104,3.99,2.59,4032000,VIGOR GREGO BLUEBERRY 90G,8/9/2023,
f330690,f1484,50,f7891999340108,2.99,1.79,22021000,VIG BEBIDA DE MORANGO 200ML,8/9/2023,
f767422,f0310221,50,f7891999014962,3.5,2.19,22029900,ACHOCOLATADO VIGOR 200ML,8/9/2023,
f000205,f594,50,f7891999970053,7.2,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,8/16/2023,5.0
f000805,f6252,50,f7891999144485,0.0,0.0,4061090,VIGOR REQUEIJAO CREMOSO 200G,8/16/2023,
f000205,f594,50,f7891999970053,7.2,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,8/30/2023,5.0
f102400,f2670,50,f7896331100143,17.99,11.8,4051000,AVIACAO MANTEIGA TB C/SAL 200G,8/30/2023,
f008269,f72829,50,f7896625210718,3.99,2.59,4039000,VIGOR NATURAL COALHADA 150G,9/13/2023,
f008272,f1808223,50,f7896625210732,4.15,2.59,4032000,VIGOR NATURAL MEL 150G,9/13/2023,
f080014,f1503232,50,f7896625211128,3.99,2.59,4032000,VIGOR GREGO FR AMARELAS 90G,9/13/2023,
f000205,f594,50,f7891999970053,7.2,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,9/20/2023,5.0
f000805,f6252,50,f7891999144485,8.99,5.79,4061090,VIGOR REQUEIJAO CREMOSO 200G,9/20/2023,
f330689,f1483,50,f7891999100023,2.99,1.79,22021000,VIG BEBIDA DE MARACUJA 200ML,9/20/2023,
f000805,f6252,50,f7891999144485,8.99,5.79,4061090,VIGOR REQUEIJAO CREMOSO 200G,9/27/2023,
f009508,f0039,50,f7896625211036,10.5,6.99,22029900,VIGOR UHT DOCE DE LEITE 250ML,9/27/2023,
f000805,f6252,50,f7891999144485,8.99,5.79,4061090,VIGOR REQUEIJAO CREMOSO 200G,10/12/2023,
f000938,f1502231,50,f7896625210466,4.5,2.82,4032000,VIGOR LIQ MORANGO 170G,10/19/2023,
f000805,f6252,50,f7891999144485,9.99,6.49,04061090,VIGOR REQUEIJAO CREMOSO 200G,11/2/2023,
