cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000205,f594,50,f7891999970053,6.99,4.39,4062000,VIGOR RALADO PARMESAO 5X50G,7/6/2023,5.0
f008291,f2112227,50,f7896625210862,7.2,4.69,4032000,VIGOR MIX COLORBALL MRGO 140G,7/6/2023,
f080010,f2905221,50,f7896625211081,4.2,2.59,4032000,VIGOR GREGO FLOCOS 90G,7/6/2023,
f080013,f0307221,50,f7896625211111,4.2,2.59,4032000,VIGOR GREGO FR VERMELHAS 90G,7/6/2023,
f080016,f0307222,50,f7896625211142,4.2,2.59,4032000,VIGOR GREGO TRADICIONAL 90G,7/6/2023,
f330688,f838,50,f7891999100047,2.99,1.96,22021000,VIG BEBIDA DE UVA 200ML,7/6/2023,
f330693,f1831,50,f7891999941879,2.99,1.96,22021000,VIG BEBIDA DE LARANJA 200ML,7/6/2023,
f000559,f121930,50,f7891999011008,4.99,3.19,15171000,VIGOR 80% 250G COM SAL,7/19/2023,
f008270,f0701211,50,f7896625210725,3.99,2.59,4032000,VIGOR NATURAL LAR CEN MEL 150G,7/19/2023,
f008274,f1808222,50,f7896625210756,4.15,2.59,4032000,VIGOR NATURAL AMEIXA 150G,7/19/2023,
f008275,f0701222,50,f7896625210763,4.5,2.59,4032000,VIGOR NATURAL TRADICIONAL 150G,7/19/2023,
f031112,f07,50,f7898240320926,2.99,1.99,4039000,REAL FERMENTADO 150G,7/19/2023,
f101900,f1328,50,f7896331100136,17.99,11.8,4051000,AVIACAO MANTEIGA TB S/SAL 200G,7/19/2023,
f330687,f2141,50,f7891999100016,2.99,1.96,22021000,VIG BEBIDA DE MACA 200ML,7/19/2023,
