cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f56366,f6539,20,f7894900034219,6.99,5.060000000044444,22021000,FTA LAR PET RET 2L_TRI,7/4/2023,
f56366 - FD,f23620233,20,f17894900034216,0.0,45.5400000004,22021000,FTA LAR PET RET 2L_TRI,7/4/2023,
f56271,f933,50,f7894900681000,9.99,6.62,22021000,SPRITE ORIGINAL PET 2L 6U FL,7/4/2023,
f56271 - FD,f3720237,50,f17894900681069,59.99,39.72,22021000,SPRITE ORIGINAL PET 2L 6U FL,7/4/2023,
f55935,f924,50,f7894900011609,5.99,3.750000000033333,22021000,CC Pet 600ml 6 Pack FL,7/4/2023,
f55935 - FD,f23620230,50,f27894900011603,33.99,22.5000000002,22021000,CC Pet 600ml 6 Pack FL,7/4/2023,
f55609,f67,20,f7894900015119,3.99,2.844583333366667,22021000,CC LS 12 STD,7/4/2023,
f55609 - FD,f22620236,20,f27894900015113,102.5,68.2700000008,22021000,CC LS 12 STD,7/6/2023,
f55568,f2294,20,f7894900014211,6.99,4.911419753082716,22021000,CC PET RET 2L 9,7/4/2023,
f55568 - FD,f22620235,20,f17894900014218,397.99,265.21666666646666,22021000,CC PET RET 2L 9,7/6/2023,
f55460,f694,50,f7894900051513,10.5,6.97,22021000,FTA UVA PET 2L 06un,7/4/2023,
f55460 - FD,f22620234,50,f27894900051517,62.99,41.82,22021000,FTA UVA PET 2L 06un,7/4/2023,
f55404,f699,50,f7894900010015,3.99,2.600000000033333,22021000,COCA COLA LT12 350ML FL,7/4/2023,
f55404 - FD,f4720230,50,f47894900010013,46.99,31.2000000004,22021000,COCA COLA LT12 350ML FL,7/4/2023,
f119521,f4720231,50,f1220000250222,9.5,6.16,22029900,Monster Ultra Watermelon LT 473ml 06,7/4/2023,
f119521 - FD,f4720232,50,f1220000250239,55.5,36.96,22029900,Monster Ultra Watermelon LT 473ml 06,7/4/2023,
f118990,f4720233,50,f0070847033301,9.5,6.16,22029900,Monster Mango Loco Lata 473ml 06UN CP,7/4/2023,
f118990 - FD,f4720234,50,f0070847033318,55.5,36.96,22029900,Monster Mango Loco Lata 473ml 06UN CP,7/4/2023,
f118795,f1610228,50,f7894900556032,4.99,3.229999999966666,22021000,DV FRUT LARANJA PET 1L 6P CP,7/4/2023,
f118795 - FD,f4720235,50,f17894900556039,29.2,19.3799999998,22021000,DV FRUT LARANJA PET 1L 6P CP,7/4/2023,
f118783,f020405,50,f7894900550030,4.99,3.229999999966666,22021000,DV FRUT UVA PET 1L 6P CP,7/4/2023,
f118783 - FD,f22620231,50,f17894900550037,29.2,19.3799999998,22021000,DV FRUT UVA PET 1L 6P CP,7/4/2023,
f118765,f228844,50,f7891098040589,8.5,5.620000000033333,22021000,"MATTE LEAO LIMAO PET 1,5L (6) CP",7/4/2023,
f118765 - FD,f4720236,50,f17891098040586,50.99,33.7200000002,22021000,"MATTE LEAO LIMAO PET 1,5L (6) CP",7/4/2023,
f118463,f1095,50,f0070847022015,9.5,6.16,22029900,Monster Energy LT 473ml 6Pack FL CP,7/4/2023,
f118463 - FD,f22620230,50,f0070847022503,55.5,36.96,22029900,Monster Energy LT 473ml 6Pack FL CP,7/4/2023,
f118106,f1663,50,f7894900593709,2.99,1.8000000000333334,22021000,KAPO UVA 200 12 CP,7/4/2023,
f118106 - FD,f4720237,50,f7894900593716,32.5,21.6000000004,22021000,KAPO UVA 200 12 CP,7/4/2023,
f118062,f657,50,f7898341430111,8.99,5.859999999966667,22029900,D.V Mais Laranja 1Litro 6,7/4/2023,
f118062 - FD,f4720238,50,f17898341431658,52.99,35.1599999998,22029900,D.V Mais Laranja 1Litro 6,7/4/2023,
f118231,f685,50,f7891098000620,3.5,2.319999999966667,22021000,MATTE NATURAL COPO 300ML CP,7/6/2023,
f118231 - FD,f6720234,50,f17891098020625,41.99,27.839999999600003,22021000,MATTE NATURAL COPO 300ML CP,7/6/2023,
f118213,f3303,50,f7891098037015,3.2,1.9999999999666669,22021000,GUA POWER  C/ ACAI  CP300ML CP,7/6/2023,
f118213 - FD,f1785,50,f17891098037012,36.2,23.9999999996,22021000,GUA POWER  C/ ACAI  CP300ML CP,7/6/2023,
f55477,f7781,50,f7894900911510,8.99,5.73,22021000,KUAT PET 2L 06un,7/6/2023,
f55477 - FD,f6720235,50,f27894900911514,51.99,34.38,22021000,KUAT PET 2L 06un,7/6/2023,
f55459,f65,50,f7894900031515,10.5,6.97,22021000,FTA LAR PET 2L,7/6/2023,
f55459 - FD,f6720236,50,f27894900031519,62.99,41.82,22021000,FTA LAR PET 2L,7/6/2023,
f118198,f3301,50,f7894900504002,4.99,3.150000000033333,22029900,Powerade Mountain Blast  PT500 06 CP,7/6/2023,
f118198 - FD,f6720237,50,f17894900504009,28.5,18.9000000002,22029900,Powerade Mountain Blast  PT500 06 CP,7/6/2023,
f56298,f7114,50,f78908901,2.2,1.3500000000333334,22021000,Coca-Cola PET 200ml 12U MAINLINE,7/6/2023,
f56298 - FD,f6720238,50,f7894900012217,24.5,16.200000000400003,22021000,Coca-Cola PET 200ml 12U MAINLINE,7/6/2023,
f56326,f6815,20,f7894900704211,6.99,5.2425,22021000,CC Sem Acucar PET RET 2L 09U,7/6/2023,
