cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f00078405,f971,50,f7898409957970,3.4,1.2970588234411766,21021090,001 FERMENTO DP.INST.FLEISCHMANN...1X68X10GR FLEISCHMANN,7/11/2023,
f00102251,f544,50,f7896004400020,4.99,3.1383,8011100,001 COCO RALADO.UN.SOCOCO.............01X50G SOCOCO,7/11/2023,
f00106605,f0809211,50,f7898331012525,8.4,4.29,19012000,001 MISTURA BOLO UN.AIPIM CREMOSO.....1X390G FLEISCHMANN,7/11/2023,
f00106911,f00013,50,f7898331012655,7.99,5.132345679012346,21069090,001 CREME CHANTILLY.UN.GRAN FINALE...1X200ML FLEISCHMANN,7/11/2023,
f00117075,f1907222,50,f7896058258660,2.99,1.89,19053200,000 BISC.UN.TORTUGUITA MORANGO........1X120G BAGLEY,7/11/2023,
f00120514,f4159,50,f7896004400358,3.99,2.6433333333,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  58,6500 BASE ST: *********60,92 VALOR ST: **********6,97",7/11/2023,
f00120514 - FD,f11720232,50,f17896004400355,95.2,63.439999999200005,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  58,6500 BASE ST: *********60,92 VALOR ST: **********6,97",7/11/2023,
f00120548,f4193,50,f7896004401744,6.99,4.5,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......12X330ML %AGR:  58,6500 BASE ST: *********55,84 VALOR ST: **********6,39",7/11/2023,
f00120548 - FD,f11720233,50,f37896004401745,81.2,54.0,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......12X330ML %AGR:  58,6500 BASE ST: *********55,84 VALOR ST: **********6,39",7/11/2023,
f00159735,f6827,50,f7896058257236,3.5,2.27,19053200,000 WF.UN.PASSION MINI CHOCOLATE.......1X80G ARCOR,7/11/2023,
f00159755,f6966,50,f7896058257250,3.5,2.27,19053200,000 WF.UN.PASSION MINI CHOC BRANCO.....1X80G ARCOR,7/11/2023,
f00170685,f1907224,50,f7896058258646,2.99,1.950680272108844,19053100,000 BISC.UN.TORTUGUITA BRIGADEIRO.....1X120G BAGLEY,7/11/2023,
f00880005,f3006217,50,f7891118025398,1.2,0.581,21069050,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,7/11/2023,
f00880005 - FD,f11720234,50,f7891118025404,34.99,23.24,21069050,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,7/11/2023,
f00981485,f01699,50,f7891055772300,12.5,8.216666666666667,63071000,001 1678 PANO.UN.VD.MICROFIBRA..........1X01 CONDOR,7/11/2023,
f00001932,f1905223,50,f7896067200032,6.2,4.03,85061020,001 PILHA COMUM AA C4 (UM 3SHS)........01X04 PANASONIC,7/26/2023,
f00117075,f1907222,50,f7896058258660,3.5,2.17,19053200,000 BISC.UN.TORTUGUITA MORANGO........1X120G BAGLEY,7/26/2023,
f00120553,f1584,50,f7896004401843,10.99,7.19,20098921,"099 AGUA DE COCO.CX.MAIS COCO.........12X1LT %AGR:  58,6500 BASE ST: *********99,79 VALOR ST: *********11,41",7/26/2023,
f00120553 - FD,f27620231,50,f37896004401844,129.5,86.28,20098921,"099 AGUA DE COCO.CX.MAIS COCO.........12X1LT %AGR:  58,6500 BASE ST: *********99,79 VALOR ST: *********11,41",7/26/2023,
f00170685,f1907224,50,f7896058258646,3.5,2.17,19053100,000 BISC.UN.TORTUGUITA BRIGADEIRO.....1X120G BAGLEY,7/26/2023,
f00179705,f1406221,50,f7896067203033,8.5,5.6,85061020,001 PILHA COMUM AAA C4 (R03UAL 4B).......1X4 PANASONIC,7/26/2023,
f00261780,f3951,50,f77940131,1.5,0.792,19059090,000 TURRON DP.MANY................01X50X25GR ARCOR,7/26/2023,
f00261780 - FD,f27620232,50,f77790580401305,59.5,39.6,19059090,000 TURRON DP.MANY................01X50X25GR ARCOR,7/26/2023,
f01260100,f72922,50,f7896185312327,7.99,4.5833333333,22029900,"099 NECTAR.CX.UVA SHEFA...............12X1LT %AGR:  42,4800 BASE ST: *********59,72 VALOR ST: **********6,91",7/26/2023,
f01260100 - FD,f26720233,50,f37896185312328,82.5,54.99999999959999,22029900,"099 NECTAR.CX.UVA SHEFA...............12X1LT %AGR:  42,4800 BASE ST: *********59,72 VALOR ST: **********6,91",7/26/2023,
