cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f00078405,f971,50,f7898409957970,3.4,1.2970588234411766,21021090,001 FERMENTO DP.INST.FLEISCHMANN...1X68X10GR FLEISCHMANN,7/11/2023,
f00102251,f544,50,f7896004400020,4.99,3.1383,8011100,001 COCO RALADO.UN.SOCOCO.............01X50G SOCOCO,7/11/2023,
f00106605,f0809211,50,f7898331012525,8.4,4.29,19012000,001 MISTURA BOLO UN.AIPIM CREMOSO.....1X390G FLEISCHMANN,7/11/2023,
f00106911,f00013,50,f7898331012655,7.99,5.132345679012346,21069090,001 CREME CHANTILLY.UN.GRAN FINALE...1X200ML FLEISCHMANN,7/11/2023,
f00117075,f1907222,50,f7896058258660,2.99,1.89,19053200,000 BISC.UN.TORTUGUITA MORANGO........1X120G BAGLEY,7/11/2023,
f00120514,f4159,50,f7896004400358,3.99,2.6433333333,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  58,6500 BASE ST: *********60,92 VALOR ST: **********6,97",7/11/2023,
f00120514 - FD,f11720232,50,f17896004400355,95.2,63.439999999200005,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......24X200ML %AGR:  58,6500 BASE ST: *********60,92 VALOR ST: **********6,97",7/11/2023,
f00120548,f4193,50,f7896004401744,6.99,4.5,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......12X330ML %AGR:  58,6500 BASE ST: *********55,84 VALOR ST: **********6,39",7/11/2023,
f00120548 - FD,f11720233,50,f37896004401745,81.2,54.0,20098921,"099 AGUA DE COCO.TP.CX.SOCOCO.......12X330ML %AGR:  58,6500 BASE ST: *********55,84 VALOR ST: **********6,39",7/11/2023,
f00159735,f6827,50,f7896058257236,3.5,2.27,19053200,000 WF.UN.PASSION MINI CHOCOLATE.......1X80G ARCOR,7/11/2023,
f00159755,f6966,50,f7896058257250,3.5,2.27,19053200,000 WF.UN.PASSION MINI CHOC BRANCO.....1X80G ARCOR,7/11/2023,
f00170685,f1907224,50,f7896058258646,2.99,1.950680272108844,19053100,000 BISC.UN.TORTUGUITA BRIGADEIRO.....1X120G BAGLEY,7/11/2023,
f00880005,f3006217,50,f7891118025398,1.2,0.581,21069050,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,7/11/2023,
f00880005 - FD,f11720234,50,f7891118025404,34.99,23.24,21069050,001 CH.DP.TOPLINE GUARANA............1X20X6G ARCOR,7/11/2023,
f00981485,f01699,50,f7891055772300,12.5,8.216666666666667,63071000,001 1678 PANO.UN.VD.MICROFIBRA..........1X01 CONDOR,7/11/2023,
